Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE: CUBI_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_JORGE:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/07  23:10:00,26.6,30.881450138189689,31.58213869650989,31.424829317968848,30.56968598620281,30.746863035388654,28.855740723028359 
 05/07  23:20:00,25.8,30.845072483787378,31.52719313033191,31.345325818332335,30.52804504069354,30.692177145859085,29.520765840745676 
 05/07  23:30:00,25.0,30.785413991039709,31.433810835252335,31.204312547365779,30.471747263395547,30.62003425754405,28.86257788096111 
 05/07  23:40:00,25.5,30.745413776687195,31.349713854891126,31.11800726714975,30.404685626059359,30.539470808260636,28.825590470758763 
 05/07  23:50:00,25.7,30.735262038634017,31.312961601048053,31.08137646068783,30.33863320262339,30.468254433498588,29.623904147402663 
 05/07  24:00:00,25.3,30.701613889606067,31.252561626938787,30.978373071405529,30.27409640484099,30.405515303650448,29.04348090785903 
 05/08  00:10:00,24.6,30.64009450905605,31.154925339767965,30.81005625128295,30.1957609366588,30.3223890633289,27.406714377983538 
 05/08  00:20:00,24.5,30.574314340406887,31.038885198660894,30.687702354890626,30.116020307218755,30.239724784530418,28.57060865170508 
 05/08  00:30:00,23.9,30.542330652231,30.97237972296186,30.677575579136396,30.042158013380804,30.16033952161579,27.27522402266743 
 05/08  00:40:00,24.2,30.527822687261126,30.92653718703291,30.673567031654465,29.967965640146358,30.07971836149028,27.344383067112898 
 05/08  00:50:00,24.1,30.49432443655282,30.858523442792323,30.60103101497031,29.888380298825238,29.99402390103523,27.430969962588976 
 05/08  01:00:00,23.8,30.444129368320639,30.78258645946222,30.458575433637237,29.818585014343378,29.9169867541544,28.266645479076734 
 05/08  01:10:00,22.9,30.3838033181672,30.69347046321783,30.359661028780548,29.74887553343525,29.83988404209338,26.70869298023051 
 05/08  01:20:00,22.9,30.314512623146194,30.585695091728924,30.232345385035484,29.67146383354407,29.7529805347877,26.773312733427198 
 05/08  01:30:00,23.0,30.289811669464898,30.53650073912759,30.162080361312876,29.601641891058728,29.673826662625954,27.20402805504994 
 05/08  01:40:00,23.0,30.239100175769545,30.43719605801927,30.067252630019778,29.518839536257823,29.58142848628218,26.702686820433749 
 05/08  01:50:00,22.2,30.17872238075477,30.34320333642322,29.95759943144434,29.44598858450071,29.4984532328587,26.345566819707139 
 05/08  02:00:00,22.6,30.137179373109988,30.273701283281594,29.88240740493379,29.37127040770589,29.41275448115744,26.56612564491699 
 05/08  02:10:00,23.0,30.119554525078319,30.229925074386327,29.847491581960879,29.291474364399865,29.322600184862084,26.54282027913672 
 05/08  02:20:00,22.5,30.084584100892923,30.18006260436058,29.762722351917526,29.223259843170149,29.245233483178404,26.20814650038667 
 05/08  02:30:00,22.9,30.062500679840363,30.13681908158047,29.713730235048574,29.14727425386416,29.159468090893577,26.70915499431743 
 05/08  02:40:00,22.1,29.981432732932079,30.021046911955997,29.537159464348329,29.06227443010407,29.064096841522134,26.207538052117287 
 05/08  02:50:00,22.4,29.955331651733589,29.98159001257844,29.485966112617868,28.992232830900364,28.984750264519179,26.709985144028104 
 05/08  03:00:00,22.5,29.900427427727615,29.893813478268329,29.398181884297306,28.902437082871225,28.884449090425805,26.281306413000399 
 05/08  03:10:00,22.7,29.86639608100097,29.832111650883939,29.369070229018857,28.821447641770545,28.793648891432608,26.10031476069624 
 05/08  03:20:00,22.6,29.843048220214088,29.802063188566753,29.319403723197654,28.749167647043018,28.712185807167587,26.54197965701371 
 05/08  03:30:00,22.0,29.78512459901133,29.730257397848104,29.215175536319589,28.671534120183439,28.62532918425459,25.834605343606154 
 05/08  03:40:00,22.1,29.727040612462639,29.649289366460896,29.135882330735254,28.588150423197086,28.532109222796504,25.580919812662154 
 05/08  03:50:00,21.7,29.65776543643623,29.55427106393447,29.01797610105658,28.50362204364832,28.437633426589046,25.77640773448601 
 05/08  04:00:00,21.7,29.583272126719274,29.45672736977652,28.836765054311518,28.426156246492373,28.35096032919514,25.954969039634347 
 05/08  04:10:00,21.8,29.554396376341658,29.415427540755393,28.786924762942538,28.352678293196836,28.26858818291106,26.506194068535444 
 05/08  04:20:00,22.1,29.529241328326177,29.377021651220809,28.737948003236455,28.282044082599009,28.189598577376168,25.788629405491343 
 05/08  04:30:00,21.8,29.501896840230964,29.328870585973694,28.753626366009788,28.19862596543605,28.096908597022947,25.10493467173415 
 05/08  04:40:00,21.6,29.449007705898095,29.248642888939544,28.722270479663277,28.11394811451089,28.003032577092506,25.047919651702217 
 05/08  04:50:00,21.8,29.408534198476699,29.180183314152726,28.680421877458785,28.028348112353514,27.908173878437,24.840639865388245 
 05/08  05:00:00,21.1,29.371272113291157,29.130470511826048,28.60796545044257,27.958030276517794,27.82977350219032,24.37704381167874 
 05/08  05:10:00,20.8,29.308140355055366,29.0457443712428,28.50419247653787,27.880528435623373,27.743519499229703,24.204426693747324 
 05/08  05:20:00,21.2,29.26915709387226,28.989289586548755,28.458898083758183,27.8053611004159,27.659413214083977,24.581135206007084 
 05/08  05:30:00,21.0,29.198463729089246,28.895405522485757,28.358973068213336,27.7318630682541,27.577153579813467,24.554978129892594 
 05/08  05:40:00,20.6,29.13362222787196,28.813832847343244,28.248918948301446,27.658093568687784,27.494229801383946,24.05295336673742 
 05/08  05:50:00,20.8,29.09576397325217,28.76041823421847,28.194846973876439,27.59553411704278,27.42384394330808,24.359238317733138 
 05/08  06:00:00,20.2,28.988313490470696,28.623633766676435,28.010455358855457,27.51463392869586,27.33331843792851,23.983859088105818 
 05/08  06:10:00,20.1,28.899095808810153,28.511081597284798,27.84633531065131,27.441642219387174,27.251582939374488,24.15417195026621 
 05/08  06:20:00,19.8,28.843855624098994,28.44578833582912,27.714596432372468,27.370027439030637,27.17151763289062,24.773117243089595 
 05/08  06:30:00,19.5,28.78839529595946,28.37827067662833,27.600415756216145,27.30234081941989,27.096147303449159,24.94740257168315 
 05/08  06:40:00,19.5,28.734068949376565,28.30657700232863,27.519608572870984,27.221339525853656,27.00651619692657,24.51968723056456 
 05/08  06:50:00,19.4,28.682833652780809,28.24006084689511,27.440539835484374,27.143427998928979,26.920636766262207,24.863889399565115 
 05/08  07:00:00,20.1,28.632353085491518,28.16160770684933,27.412558200534656,27.04971744992082,26.818054626469825,24.911645249669584 
 05/08  07:10:00,19.9,28.62936832260592,28.14339479783873,27.50982898934231,26.966217280466947,26.726753317648535,23.441730479099126 
 05/08  07:20:00,20.5,28.632139521032145,28.132210702451205,27.577896473765344,26.883465241576184,26.63642451403465,24.039928202292779 
 05/08  07:30:00,20.9,28.628058622011989,28.105258038754248,27.65885901946901,26.793107981626024,26.537751437575545,24.17902289194207 
 05/08  07:40:00,21.5,28.649269377530353,28.099527519666798,27.791114305790019,26.704128348676816,26.4397018506444,23.99092486843441 
 05/08  07:50:00,22.6,28.671944665131954,28.10940206164159,27.875619978246069,26.633328687311726,26.359996010662809,24.71426743004874 
 05/08  08:00:00,23.7,28.701726740793988,28.122709484822076,27.983216931859283,26.566920371872209,26.283896569963816,25.462421462918227 
 05/08  08:10:00,23.5,28.70733956825108,28.112982079212448,28.029617370723274,26.50573251375214,26.2121192204346,25.02294987314096 
 05/08  08:20:00,23.7,28.71523835306659,28.10002481978421,28.092522546013688,26.447949304612214,26.142905133724758,25.06142406986039 
 05/08  08:30:00,24.5,28.744009998397077,28.11553570834652,28.1696578187553,26.40238475172066,26.08651302290059,25.482327789475677 
 05/08  08:40:00,25.4,28.79069516711889,28.144689427247078,28.295226609978767,26.362714982138408,26.036470514095066,25.748880424982958 
 05/08  08:50:00,26.4,28.841741688066578,28.17905949370241,28.436225586586916,26.326316896185764,25.989760881897899,25.784597608126167 
 05/08  09:00:00,26.6,28.881776757270868,28.205193456002279,28.553834330555696,26.299679634764858,25.954606655836945,25.936655087555456 
 05/08  09:10:00,27.1,28.915817855424355,28.22854855958432,28.814443703717108,26.280416278087605,25.928136952667303,26.099974268448685 
 05/08  09:20:00,26.9,28.93859053606198,28.244323721463215,29.028060330934904,26.267275371443817,25.908767168792829,26.093627068365835 
 05/08  09:30:00,26.7,28.94868163843544,28.25207358041267,29.112400553722538,26.260384590209179,25.896581031593056,25.914869859171629 
 05/08  09:40:00,28.1,28.992406511667825,28.29104405636086,29.206381383909059,26.259724535702597,25.89169530600491,26.479257899725544 
