Date/Time,JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 06/05  22:00:00,-2.817547468,97.9640366,-2.817547468,97.9640366
 06/05  22:10:00,-2.879731291,98.44580247,-2.879731291,98.44580247
 06/05  22:20:00,-2.993793457,99.08847963,-2.993793457,99.08847963
 06/05  22:30:00,-3.089676899,99.44107716,-3.089676899,99.44107716
 06/05  22:40:00,-3.006528191,99.14393997,-3.006528191,99.14393997
 06/05  22:50:00,-3.028886929,99.2345021,-3.028886929,99.2345021
 06/05  23:00:00,-3.033366371,99.25164462,-3.033366371,99.25164462
 06/05  23:10:00,-2.979594955,99.02315294,-2.979594955,99.02315294
 06/05  23:20:00,-2.933308248,98.78269088,-2.933308248,98.78269088
 06/05  23:30:00,-2.946734329,98.85697373,-2.946734329,98.85697373
 06/05  23:40:00,-3.061928836,99.35354639,-3.061928836,99.35354639
 06/05  23:50:00,-3.076097823,99.39958682,-3.076097823,99.39958682
 06/05  24:00:00,-3.042372242,99.28513629,-3.042372242,99.28513629
 06/06  00:10:00,-3.019310057,99.19674634,-3.019310057,99.19674634
 06/06  00:20:00,-3.022820595,99.21076315,-3.022820595,99.21076315
 06/06  00:30:00,-3.05533439,99.3311236,-3.05533439,99.3311236
 06/06  00:40:00,-3.074392657,99.39419722,-3.074392657,99.39419722
 06/06  00:50:00,-3.112643887,99.5057204,-3.112643887,99.5057204
 06/06  01:00:00,-3.153869379,99.60585297,-3.153869379,99.60585297
 06/06  01:10:00,-3.161296594,99.62190594,-3.161296594,99.62190594
 06/06  01:20:00,-3.154985494,99.608302,-3.154985494,99.608302
 06/06  01:30:00,-3.152132327,99.60201534,-3.152132327,99.60201534
 06/06  01:40:00,-3.161706726,99.62277579,-3.161706726,99.62277579
 06/06  01:50:00,-3.181318817,99.66241357,-3.181318817,99.66241357
 06/06  02:00:00,-3.211723879,99.71676618,-3.211723879,99.71676618
 06/06  02:10:00,-3.235563965,99.75391767,-3.235563965,99.75391767
 06/06  02:20:00,-3.239274004,99.7593008,-3.239274004,99.7593008
 06/06  02:30:00,-3.242708417,99.76419246,-3.242708417,99.76419246
 06/06  02:40:00,-3.257964573,99.78489146,-3.257964573,99.78489146
 06/06  02:50:00,-3.291373341,99.8247673,-3.291373341,99.8247673
 06/06  03:00:00,-3.325295144,99.85847698,-3.325295144,99.85847698
 06/06  03:10:00,-3.367281945,99.8922065,-3.367281945,99.8922065
 06/06  03:20:00,-3.461404313,99.9433097,-3.461404313,99.9433097
 06/06  03:30:00,-3.434001245,99.93132407,-3.434001245,99.93132407
 06/06  03:40:00,-3.419186664,99.92394452,-3.419186664,99.92394452
 06/06  03:50:00,-3.419017626,99.92385639,-3.419017626,99.92385639
 06/06  04:00:00,-3.423780314,99.92630489,-3.423780314,99.92630489
 06/06  04:10:00,-3.427136611,99.92798797,-3.427136611,99.92798797
 06/06  04:20:00,-3.43331621,99.93099746,-3.43331621,99.93099746
 06/06  04:30:00,-3.447678226,99.93756271,-3.447678226,99.93756271
 06/06  04:40:00,-3.463780912,99.9442552,-3.463780912,99.9442552
 06/06  04:50:00,-3.485083344,99.95212012,-3.485083344,99.95212012
 06/06  05:00:00,-3.554341249,99.97128572,-3.554341249,99.97128572
 06/06  05:10:00,-3.592155327,99.9785201,-3.592155327,99.9785201
 06/06  05:20:00,-3.581766804,99.97671849,-3.581766804,99.97671849
 06/06  05:30:00,-3.579504613,99.97630846,-3.579504613,99.97630846
 06/06  05:40:00,-3.589914801,99.9781426,-3.589914801,99.9781426
 06/06  05:50:00,-3.692463812,99.99043892,-3.692463812,99.99043892
 06/06  06:00:00,-3.752136943,99.99425629,-3.752136943,99.99425629
 06/06  06:10:00,-3.722407159,99.99257639,-3.722407159,99.99257639
 06/06  06:20:00,-3.692380839,99.99043229,-3.692380839,99.99043229
 06/06  06:30:00,-3.690190681,99.99025561,-3.690190681,99.99025561
 06/06  06:40:00,-3.699531993,99.99098894,-3.699531993,99.99098894
 06/06  06:50:00,-3.697103579,99.99080333,-3.697103579,99.99080333
 06/06  07:00:00,-3.684787002,99.98980687,-3.684787002,99.98980687
 06/06  07:10:00,-3.662912186,99.98779045,-3.662912186,99.98779045
 06/06  07:20:00,-3.654296561,99.9869009,-3.654296561,99.9869009
 06/06  07:30:00,-3.614131166,99.9819213,-3.614131166,99.9819213
 06/06  07:40:00,-3.560893472,99.9726787,-3.560893472,99.9726787
 06/06  07:50:00,-3.50576463,99.95878795,-3.50576463,99.95878795
 06/06  08:00:00,-3.453358011,99.94000108,-3.453358011,99.94000108
 06/06  08:10:00,-3.44409911,99.93598106,-3.44409911,99.93598106
 06/06  08:20:00,-3.439811451,99.93403926,-3.439811451,99.93403926
 06/06  08:30:00,-3.440992594,99.93457936,-3.440992594,99.93457936
 06/06  08:40:00,-3.425875304,99.92735952,-3.425875304,99.92735952
 06/06  08:50:00,-3.408754794,99.91833254,-3.408754794,99.91833254
 06/06  09:00:00,-3.379844222,99.9008078,-3.379844222,99.9008078
 06/06  09:10:00,-0.808235387,18.77470382,-0.808235387,18.77470382
 06/06  09:20:00,-0.526130521,10.79027922,-0.526130521,10.79027922
 06/06  09:30:00,-0.389909659,8.166727631,-0.389909659,8.166727631
 06/06  09:40:00,-0.367223652,7.807146103,-0.367223652,7.807146103
 06/06  09:50:00,-0.344808667,7.473403013,-0.344808667,7.473403013
 06/06  10:00:00,-0.381125023,8.024881899,-0.381125023,8.024881899
 06/06  10:10:00,-0.391969497,8.200465041,-0.391969497,8.200465041
 06/06  10:20:00,-0.309823979,6.995161281,-0.309823979,6.995161281
 06/06  10:30:00,-0.197870786,5.81187742,-0.197870786,5.81187742
 06/06  10:40:00,-0.089060318,5.164249234,-0.089060318,5.164249234
 06/06  10:50:00,-0.010800889,5.002414916,-0.010800889,5.002414916
 06/06  11:00:00,-0.060301053,5.075283781,-0.060301053,5.075283781
