Date/Time,JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/12  13:30:00,-0.24851804917147134,6.281910977994627,-0.24851804917147134,6.281910977994627 
 05/12  13:40:00,-0.22897711560860319,6.087818259112197,-0.22897711560860319,6.087818259112197 
 05/12  13:50:00,0.02435026243539314,5.012274383639948,0.02435026243539314,5.012274383639948 
 05/12  14:00:00,0.10836326003638527,5.243204993320447,0.10836326003638527,5.243204993320447 
 05/12  14:10:00,0.26135900727368846,6.418191596727539,0.26135900727368846,6.418191596727539 
 05/12  14:20:00,0.26076091212052895,6.411690013838026,0.26076091212052895,6.411690013838026 
 05/12  14:30:00,0.14606655018681759,5.442072418843026,0.14606655018681759,5.442072418843026 
 05/12  14:40:00,0.00773943486742058,5.001239939523941,0.00773943486742058,5.001239939523941 
 05/12  14:50:00,0.17522172881643545,5.6364216550936849,0.17522172881643545,5.6364216550936849 
 05/12  15:00:00,0.2815604047676185,6.646639584655176,0.2815604047676185,6.646639584655176 
 05/12  15:10:00,0.40574036946450167,8.430674803350613,0.40574036946450167,8.430674803350613 
 05/12  15:20:00,0.4362960752912526,8.97048940991148,0.4362960752912526,8.97048940991148 
 05/12  15:30:00,0.3781603403200889,7.9777547603898999,0.3781603403200889,7.9777547603898999 
 05/12  15:40:00,0.37353949755301549,7.905048842132842,0.37353949755301549,7.905048842132842 
 05/12  15:50:00,0.4392752002649198,9.025263904264606,0.4392752002649198,9.025263904264606 
 05/12  16:00:00,0.6720964597806528,14.492264060419629,0.6720964597806528,14.492264060419629 
 05/12  16:10:00,0.5126571877707183,10.495136483395484,0.5126571877707183,10.495136483395484 
 05/12  16:20:00,0.5111294015987989,10.46216503220036,0.5111294015987989,10.46216503220036 
 05/12  16:30:00,0.6305820664079771,13.345323572169619,0.6305820664079771,13.345323572169619 
 05/12  16:40:00,0.8399672392124079,19.88624024037277,0.8399672392124079,19.88624024037277 
 05/12  16:50:00,1.1291778616696165,31.86205541072377,1.1291778616696165,31.86205541072377 
 05/12  17:00:00,1.069656585946394,29.142650184918908,1.069656585946394,29.142650184918908 
 05/12  17:10:00,1.0314432744389515,27.46217117944535,1.0314432744389515,27.46217117944535 
 05/12  17:20:00,1.0922005713547414,30.158400017461007,1.0922005713547414,30.158400017461007 
 05/12  17:30:00,1.0434278857263922,27.983519425635579,1.0434278857263922,27.983519425635579 
 05/12  17:40:00,1.0449627946048002,28.0506691582557,1.0449627946048002,28.0506691582557 
 05/12  17:50:00,0.9447451197359293,23.8518661812181,0.9447451197359293,23.8518661812181 
 05/12  18:00:00,0.8787349680594194,21.30123082172196,0.8787349680594194,21.30123082172196 
 05/12  18:10:00,0.9065866833790336,22.355954025031438,0.9065866833790336,22.355954025031438 
 05/12  18:20:00,0.9283837088284382,23.20331972598491,0.9283837088284382,23.20331972598491 
 05/12  18:30:00,1.03433272518134,27.587384905098319,1.03433272518134,27.587384905098319 
 05/12  18:40:00,1.0243891912535832,27.157777706058697,1.0243891912535832,27.157777706058697 
 05/12  18:50:00,0.9918211168076738,25.776542431641148,0.9918211168076738,25.776542431641148 
 05/12  19:00:00,0.8745241095966239,21.144530483639899,0.8745241095966239,21.144530483639899 
 05/12  19:10:00,0.8585106196720365,20.555289632263596,0.8585106196720365,20.555289632263596 
 05/12  19:20:00,0.8030120401638442,18.59579721980539,0.8030120401638442,18.59579721980539 
 05/12  19:30:00,0.7596626879966846,17.155690610418149,0.7596626879966846,17.155690610418149 
 05/12  19:40:00,0.7242254441942543,16.038060157626533,0.7242254441942543,16.038060157626533 
 05/12  19:50:00,0.6645229200135522,14.277456134255815,0.6645229200135522,14.277456134255815 
 05/12  20:00:00,0.61173135347919,12.84920043467443,0.61173135347919,12.84920043467443 
 05/12  20:10:00,0.5931827778758057,12.376081935588218,0.5931827778758057,12.376081935588218 
 05/12  20:20:00,0.5633570638744976,11.646623107253959,0.5633570638744976,11.646623107253959 
 05/12  20:30:00,0.5251369320691843,10.768245642035751,0.5251369320691843,10.768245642035751 
 05/12  20:40:00,0.49714624223248879,10.165080251671214,0.49714624223248879,10.165080251671214 
 05/12  20:50:00,0.468734168727653,9.587448131589398,0.468734168727653,9.587448131589398 
 05/12  21:00:00,0.46201581168955116,9.455949321008646,0.46201581168955116,9.455949321008646 
 05/12  21:10:00,0.4377085675107384,8.996412101493306,0.4377085675107384,8.996412101493306 
 05/12  21:20:00,0.37142756964446868,7.8721223053543529,0.37142756964446868,7.8721223053543529 
 05/12  21:30:00,0.2728076208323634,6.545547172820449,0.2728076208323634,6.545547172820449 
 05/12  21:40:00,0.17613127005885219,5.643054776292516,0.17613127005885219,5.643054776292516 
 05/12  21:50:00,0.18732776476953576,5.727537929209262,0.18732776476953576,5.727537929209262 
